Simulacion,cantidad_individuos,p_mutacion,cantidad_maxima_generaciones,tiempo_maximo,p_optimizacion_deterministica,probabilidad_saltar_periodo,peso_seleccion_paso,peso_seleccion_demanda,peso_mover_periodo,peso_cambiar_task,intentos_mutacion,probabilidad_reducir,probabilidad_completo,Generacion 0,Generacion 1,Generacion 2,Generacion 3,Generacion 4,Generacion 5,Generacion 6,Generacion 7,Generacion 8,Generacion 9,Generacion 10,Valor_Incumbente,Hubo_Mejora,Porc_Mejora_Aptitud
513,10,0.01,10,3600,0.0,0.05,2,1,1,4,2,0.33,0.66,963.3482937276,956.3698255011999,965.316539396,972.7276199153999,968.6862108904,972.474681697,979.6052956113999,984.2194401564,976.995221412,973.0838922761999,976.0100919696,954.039106272,False,0.01314353108262247
514,10,0.01,10,3600,1.0,0.05,2,1,1,4,2,0.33,0.66,974.8384379704,978.5378909444,975.0310450917999,983.3005733440001,997.7647943329999,997.6681027157999,1008.5130458780001,1010.1805867322,1008.2050329555999,1001.586236804,998.8001556984,976.882554544,False,0.02458019379897237
515,10,0.01,10,3600,0.0,0.05,2,1,1,4,10,0.33,0.66,973.1783104108001,962.8660272760001,968.809303935,979.8831065232,978.9894306158,990.5736570851999,1000.395696238,1000.2836166444,1008.6984432812,1000.2412818119999,991.4999103453999,973.299439782,False,0.018826560085238503
516,10,0.01,10,3600,1.0,0.05,2,1,1,4,10,0.33,0.66,987.2305338837999,977.8553243656,982.4294713376,989.5967134496001,978.3958422628,983.941991036,986.7728597628,996.6673385015999,997.9215818158,993.1648143750001,995.511936831,978.523072482,False,0.008388519867412025
517,10,0.01,10,3600,0.0,0.05,2,1,1,4,1,0.66,0.33,965.9787382226001,966.8401235573999,975.0525402139999,984.7010946428,991.3778230350001,989.9323940869999,995.96692528,1000.3219079224,1001.5185444936,997.3938477887999,977.8769642198,962.024477002,False,0.012317275242613144
518,10,0.01,10,3600,1.0,0.05,2,1,1,4,1,0.66,0.33,987.2305338837999,983.7651473118,974.6008195214001,980.7088860243999,979.9842789748,989.127523693,997.3220493925999,995.8347845676001,997.5463722544,990.425279587,986.1451326372,973.837467682,True,-0.0010994405150029803
519,10,0.01,10,3600,0.0,0.05,2,1,1,4,2,0.66,0.33,963.3482937276,956.3698255011999,965.316539396,972.7276199153999,968.6862108904,972.474681697,979.6052956113999,984.2194401564,976.995221412,973.0838922761999,976.0100919696,954.039106272,False,0.01314353108262247
520,10,0.01,10,3600,1.0,0.05,2,1,1,4,2,0.66,0.33,987.2305338837999,990.3859256582,982.3538233503999,983.2526657502,981.9902851756,982.0444202704,971.8787353150001,970.996322641,970.79885304,976.8774471295999,978.5091000164,964.415872272,True,-0.008834242426730353
521,10,0.01,10,3600,0.0,0.05,2,1,1,4,10,0.66,0.33,963.3482937276,963.7612326056,966.7607111232,965.8024580382,976.6384028832001,977.7418070442,995.7481885213999,994.408640767,999.9129061460001,996.947325284,1006.968161879,979.135138762,False,0.045279436768000524
522,10,0.01,10,3600,1.0,0.05,2,1,1,4,10,0.66,0.33,965.9787382226001,971.5113436752001,971.3970423848001,978.2376900441999,986.1654071904001,1004.0916049351999,998.1075300975999,1007.9800794016,999.2786713854,988.6608220188,979.1017435524,959.488457666,False,0.01358519065745296
523,10,0.01,10,3600,0.0,0.05,2,1,1,4,1,0.66,0.66,963.3482937276,965.128293864,965.3672814852,979.1152401294,982.6538751016,981.9494928284,992.1746908368001,988.5979990973999,989.427360938,982.1146534843999,979.9903231154,961.31203539,False,0.017275194751635442
524,10,0.01,10,3600,1.0,0.05,2,1,1,4,1,0.66,0.66,965.9787382226001,966.6451817569999,974.8430354698,981.1518877475999,981.0757197062,983.1404056202,991.8241705431999,995.0359328044,996.5867766012001,982.5259076472,979.2391486029999,953.691398656,False,0.013727435041478157
525,10,0.01,10,3600,0.0,0.05,2,1,1,4,2,0.66,0.66,973.1783104108001,968.8898984266,972.4261720374,982.4566647149999,989.7656349115999,989.464416408,1001.570756453,998.8877435234001,1001.5393036732,1003.3601430557999,1004.0915740622,978.121948502,False,0.0317652616387954
526,10,0.01,10,3600,1.0,0.05,2,1,1,4,2,0.66,0.66,973.1783104108001,968.9155410793999,971.8044837637999,980.0319337968,990.9001614709999,1001.2256561954,994.4275820252,993.9989014114001,999.3883776322,1010.467476393,1002.1862245098,974.8701453,False,0.029807398899750454
527,10,0.01,10,3600,0.0,0.05,2,1,1,4,10,0.66,0.66,965.9787382226001,971.708618763,972.4455098856,979.6078809925999,980.0428745056,984.7688430842,989.1691419836,991.7120454348,997.9604946342,992.4765082748002,988.2294175131999,955.725887126,False,0.023034336481919916
528,10,0.01,10,3600,1.0,0.05,2,1,1,4,10,0.66,0.66,965.9787382226001,971.5113436752001,971.3970423848001,978.2376900441999,986.1654071904001,1004.0916049351999,998.1075300975999,1007.9800794016,999.2786713854,988.6608220188,979.1017435524,959.488457666,False,0.01358519065745296
529,10,0.01,10,3600,0.0,0.05,2,2,1,4,1,0.33,0.33,957.7166273554,961.4032281588001,962.9612542361999,982.4450266008,986.243801525,997.6638368606,994.0817095024,984.8782414126001,977.0167767444,983.8528095374,977.9199578128,931.682027394,False,0.021095311369072414
530,10,0.01,10,3600,1.0,0.05,2,2,1,4,1,0.33,0.33,961.0656039136,976.3302796024,969.8627059,979.9452637640001,982.111438067,978.8191687689999,986.8954439256,990.0540752338,999.8981780903999,998.002086101,999.73861186,955.112176438,False,0.040239717027555556
531,10,0.01,10,3600,0.0,0.05,2,2,1,4,2,0.33,0.33,957.7166273554,962.3452101874,967.627931066,983.1853512158001,992.1320071493999,990.8607480590001,992.1134258497999,981.9568877968001,976.8027099834001,969.1444270046001,960.6361603276,942.682329876,False,0.0030484309124525965
532,10,0.01,10,3600,1.0,0.05,2,2,1,4,2,0.33,0.33,980.0482749253999,978.0320041376001,977.6753880136,985.2594959321999,988.3630214975999,985.2824858816,994.3633599389999,986.8149690349999,985.4394657139999,994.3581825253999,988.1212879225999,971.801754674,False,0.008237362590954473
533,10,0.01,10,3600,0.0,0.05,2,2,1,4,10,0.33,0.33,957.7166273554,955.6851251390001,969.4346705388,975.4472145133999,988.3257678348,1000.1512495978001,1007.8366647718,1001.760730321,998.3255292962,993.2272631046001,991.6220006694,958.284362658,False,0.03540230204379448
534,10,0.01,10,3600,1.0,0.05,2,2,1,4,10,0.33,0.33,965.888061409,961.4403748862,971.4318673312,974.1081768108,987.0716646540001,994.8257688527999,1001.0492190548,1003.0879632568,995.6853355691999,992.2086085792,995.6254161740001,948.741458352,False,0.030787578761063035
535,10,0.01,10,3600,0.0,0.05,2,2,1,4,1,0.33,0.66,965.888061409,958.1109199774,961.1040755792001,978.4907993776,977.8942726854,982.7532536152,993.1251517462,980.7381425035999,985.6976076648,995.9944006558001,993.5195425722001,975.806809406,False,0.028607332740910315
536,10,0.01,10,3600,1.0,0.05,2,2,1,4,1,0.33,0.66,970.3373429984,971.5937692838,975.2378466644001,974.7119423074,978.0720710362,977.3839674958001,983.1381217882001,992.3695532182,997.0364653122,989.2224248442001,982.1910474665999,955.918875258,False,0.012216065426866143
