Maquina,Start,End,Producto,Demanda,task_mode,paso,delta,Activity
MAQ118,595,603,STRAP W/ STRIPES,5,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|5|Harden[1] TM5|1
MAQ118,606,620,WOVEN LABEL OURELA CUT,0,Harden[1.5] TM3,6,14,MAQ118|WOVEN LABEL OURELA CUT|0|Harden[1.5] TM3|6
MAQ118,623,631,STRAP W/ STRIPES,8,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|8|Harden[1] TM5|1
MAQ118,632,640,STRAP W/ STRIPES,9,Harden[1] TM5,0,8,MAQ118|STRAP W/ STRIPES|9|Harden[1] TM5|0
MAQ118,642,650,STRAP W/ STRIPES,9,Harden[1] TM5,1,8,MAQ118|STRAP W/ STRIPES|9|Harden[1] TM5|1
MAQ118,651,655,WOVEN LABEL OURELA CUT,4,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA CUT|4|Harden[0.5] TM4|3
MAQ118,656,660,WOVEN LABEL OURELA CUT,3,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA CUT|3|Harden[0.5] TM4|3
MAQ118,661,669,WOVEN LABEL OURELA FABRIC,5,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|5|Harden[1] TM5|1
MAQ118,670,678,WOVEN LABEL OURELA CUT,3,Harden[1] TM5,4,8,MAQ118|WOVEN LABEL OURELA CUT|3|Harden[1] TM5|4
MAQ118,681,689,WOVEN LABEL OURELA CUT,3,Harden[1] TM5,5,8,MAQ118|WOVEN LABEL OURELA CUT|3|Harden[1] TM5|5
MAQ118,691,699,WOVEN LABEL OURELA FABRIC,5,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|5|Harden[1] TM5|2
MAQ118,700,708,WOVEN LABEL OURELA FABRIC,3,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|3|Harden[1] TM5|1
MAQ118,709,717,WOVEN LABEL OURELA CUT,4,Harden[1] TM5,5,8,MAQ118|WOVEN LABEL OURELA CUT|4|Harden[1] TM5|5
MAQ118,718,726,WOVEN LABEL OURELA FABRIC,1,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|1|Harden[1] TM5|2
MAQ118,727,741,WOVEN LABEL OURELA CUT,4,Harden[1.5] TM3,6,14,MAQ118|WOVEN LABEL OURELA CUT|4|Harden[1.5] TM3|6
MAQ118,742,746,WOVEN LABEL OURELA FABRIC,1,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|1|Harden[0.5] TM4|3
MAQ118,748,756,WOVEN LABEL OURELA FABRIC,7,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|7|Harden[1] TM5|2
MAQ118,757,765,WOVEN LABEL OURELA FABRIC,10,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|10|Harden[1] TM5|2
MAQ118,769,773,WOVEN LABEL OURELA FABRIC,6,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|6|Harden[0.5] TM4|3
MAQ118,774,778,WOVEN LABEL OURELA FABRIC,7,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|7|Harden[0.5] TM4|3
MAQ118,779,787,WOVEN LABEL OURELA FABRIC,0,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|0|Harden[1] TM5|2
MAQ118,788,792,WOVEN LABEL OURELA FABRIC,0,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|0|Harden[0.5] TM4|3
MAQ118,794,798,WOVEN LABEL OURELA FABRIC,5,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|5|Harden[0.5] TM4|3
MAQ118,800,804,WOVEN LABEL OURELA FABRIC,10,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|10|Harden[0.5] TM4|3
MAQ118,805,809,WOVEN LABEL OURELA FABRIC,9,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|9|Harden[0.5] TM4|3
MAQ118,811,819,WOVEN LABEL OURELA FABRIC,12,Harden[1] TM5,1,8,MAQ118|WOVEN LABEL OURELA FABRIC|12|Harden[1] TM5|1
MAQ118,821,829,WOVEN LABEL OURELA FABRIC,12,Harden[1] TM5,2,8,MAQ118|WOVEN LABEL OURELA FABRIC|12|Harden[1] TM5|2
MAQ118,830,834,WOVEN LABEL OURELA FABRIC,12,Harden[0.5] TM4,3,4,MAQ118|WOVEN LABEL OURELA FABRIC|12|Harden[0.5] TM4|3
MAQ119,1,9,ESTORE RIBBON,0,Ironing TM3,0,8,MAQ119|ESTORE RIBBON|0|Ironing TM3|0
MAQ119,10,18,WOVEN LABEL OURELA CUT,2,Ironing TM3,0,8,MAQ119|WOVEN LABEL OURELA CUT|2|Ironing TM3|0
MAQ119,19,27,GORGORÃO RIBBON W/ INSCR,2,Ironing TM3,0,8,MAQ119|GORGORÃO RIBBON W/ INSCR|2|Ironing TM3|0
MAQ119,28,52,ROK ELASTIC,0,Harden[1.5] TM1,1,24,MAQ119|ROK ELASTIC|0|Harden[1.5] TM1|1
MAQ119,53,61,WOVEN LABEL OURELA FABRIC,2,Ironing TM3,0,8,MAQ119|WOVEN LABEL OURELA FABRIC|2|Ironing TM3|0
MAQ119,62,70,WOVEN LABEL OURELA FABRIC,5,Ironing TM3,0,8,MAQ119|WOVEN LABEL OURELA FABRIC|5|Ironing TM3|0
MAQ119,71,86,TAFFETA EMBLEM,2,Harden[1] TM1,0,15,MAQ119|TAFFETA EMBLEM|2|Harden[1] TM1|0
MAQ119,87,95,WOVEN LABEL OURELA CUT,1,Ironing TM3,0,8,MAQ119|WOVEN LABEL OURELA CUT|1|Ironing TM3|0
